id;Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes;total_amendements;total_mots;short_title;loi_dite;assemblee_id
pjl13-115;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République italienne pour la réalisation et l'exploitation d'une nouvelle ligne ferroviaire Lyon-Turin;projet de loi;2012-11-28;https://www.senat.fr/dossier-legislatif/pjl13-115.html;promulgué;;;2013-12-03;Loi n° 2013-1089 du 2 décembre 2013;Affaires étrangères et coopération,Transports;0;46128;Ligne ferroviaire Lyon-Turin;;14-ligne_ferroviaire_Lyon-Turin
ppl18-495;proposition de loi Tendant à réduire le nombre de sièges à pourvoir au sein des conseils municipaux des communes de moins de 500 habitants en raison d'un nombre insuffisant de sièges pourvus à la suite d'un deuxième tour de scrutin municipal;proposition de loi;2019-05-14;https://www.senat.fr/dossier-legislatif/ppl18-495.html;;;;;;Pouvoirs publics et Constitution;1;0;Nombre de sièges à pourvoir au sein des conseils municipaux;;
pjl11-353;projet de loi autorisant l'approbation des amendements à l'article 1er et à l'article 18 de l'accord portant création de la Banque européenne pour la reconstruction et le développement;projet de loi;2012-01-25;https://www.senat.fr/dossier-legislatif/pjl11-353.html;promulgué;;;2012-03-08;Loi n° 2012-322 du 7 mars 2012;Affaires étrangères et coopération,Union européenne,Traités et conventions,Économie et finances, fiscalité;0;0;Banque européenne pour la reconstruction et le développement;;13-amendements_accord_creation_BERD
15-promotion_impression_tickets_caisse_demande;Promotion de l'impression des tickets de caisse à la demande;proposition de loi;2019-07-16;http://www.assemblee-nationale.fr/dyn/15/dossiers/promotion_impression_tickets_caisse_demande;;;;;;;0;0;Promotion de l'impression des tickets de caisse à la demande;;15-promotion_impression_tickets_caisse_demande
pjl12-260;projet de loi portant diverses dispositions en matière d'infrastructures et de services de transports;projet de loi;2013-01-03;https://www.senat.fr/dossier-legislatif/pjl12-260.html;promulgué;conforme;2013-05-23;2013-05-29;Loi n° 2013-431 du 28 mai 2013;Transports;360;364821;Transports;;14-infrastructures_services_transports
pjl11-251;projet de loi fixant au 11 novembre la commémoration de tous les morts pour la France;projet de loi;2011-12-14;https://www.senat.fr/dossier-legislatif/pjl11-251.html;promulgué;;;2012-02-29;Loi n° 2012-273 du 28 février 2012;Société,Anciens combattants;9;15185;Commémoration du 11 novembre;;13-commemoration_morts_france_11_novembre
pjl08-192;projet de loi autorisant la ratification des protocoles au traité de l'Atlantique Nord sur l'accession de la République d'Albanie et de la République de Croatie;projet de loi;2008-11-26;https://www.senat.fr/dossier-legislatif/pjl08-192.html;promulgué;;;2009-02-17;Loi n° 2009-175 du 16 février 2009;Affaires étrangères et coopération,Traités et conventions;0;0;OTAN;;13-atlantique_nord_albanie_croatie
pjl08-348;projet de loi autorisant l'approbation de l'accord entre la France et la Croatie relatif à la coopération en matière de sécurité intérieure;projet de loi;2008-09-10;https://www.senat.fr/dossier-legislatif/pjl08-348.html;promulgué;;;2009-06-19;Loi n° 2009-711 du 18 juin 2009;Affaires étrangères et coopération,Police et sécurité,Union européenne,Traités et conventions;0;0;Croatie;;13-croatie_cooperation
pjl19-373;projet de loi organique relatif au système universel de retraite;projet de loi;2020-01-24;https://www.senat.fr/dossier-legislatif/pjl19-373.html;;;;;;Société,Questions sociales et santé,Travail;407;0;Système universel de retraite (PJLO) (texte organique);;15-systeme_universel_retraite
15-fonds_indemnisation_victimes_chlordecone_paraquat;Fonds d'indemnisation des victimes du chlordécone et du paraquat en Guadeloupe et Martinique;proposition de loi;2018-12-19;http://www.assemblee-nationale.fr/dyn/15/dossiers/fonds_indemnisation_victimes_chlordecone_paraquat;;;;;;;16;0;Fonds d'indemnisation des victimes du chlordécone et du paraquat en Guadeloupe et Martinique;;15-fonds_indemnisation_victimes_chlordecone_paraquat
ppl18-541;proposition de loi visant à préserver environ 3 000 emplois;proposition de loi;2019-06-03;https://www.senat.fr/dossier-legislatif/ppl18-541.html;;;;;;Environnement,Entreprises;0;0;Préserver environ 3 000 emplois;;
ppl14-375;proposition de loi visant à la réouverture exceptionnelle des délais d'inscription sur les listes électorales;proposition de loi;2015-03-04;https://www.senat.fr/dossier-legislatif/ppl14-375.html;promulgué;;;2015-07-14;Loi n° 2015-852 du 13 juillet 2015;Pouvoirs publics et Constitution;20;63818;Délais d'inscription sur les listes électorales;;14-reouverture_inscription_listes_electorales
pjl08-297;projet de loi de finances rectificative pour 2009;projet de loi;2009-03-04;https://www.senat.fr/dossier-legislatif/pjl08-297.html;promulgué;;;2009-04-22;Loi n° 2009-431 du 20 avril 2009;Budget;227;198449;Budget;;13-deuxieme_collectif_2009
15-reglement_budget_2020;Loi de règlement 2020;projet de loi;2021-04-14;http://www.assemblee-nationale.fr/dyn/15/dossiers/reglement_budget_2020;;;;;;;12;0;Loi de règlement 2020;;15-reglement_budget_2020
15-modernisation_gestion_fp;Proposition de loi organique relative à la modernisation de la gestion des finances publiques;proposition de loi;2021-05-04;http://www.assemblee-nationale.fr/dyn/15/dossiers/modernisation_gestion_fp;;;;;;;0;0;Proposition de loi organique relative à la modernisation de la gestion des finances publiques;;15-modernisation_gestion_fp
pjl11-497;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République de Serbie portant sur la coopération policière;projet de loi;2012-04-11;https://www.senat.fr/dossier-legislatif/pjl11-497.html;promulgué;;;2013-04-20;Loi n° 2013-326 du 19 avril 2013;Affaires étrangères et coopération,Police et sécurité,Traités et conventions;0;0;Accord France - Serbie : coopération policière;;14-accord_Serbie_cooperation_policiere
pjl08-452;projet de loi autorisant l'approbation de l'avenant à la convention entre la France et la Belgique tendant à éviter les doubles impositions et à établir des règles d'assistance administrative et juridique réciproque en matière d'impôts sur les revenus;projet de loi;2009-06-03;https://www.senat.fr/dossier-legislatif/pjl08-452.html;promulgué;;;2009-12-03;Loi n° 2009-1472 du 2 décembre 2009;Affaires étrangères et coopération,Traités et conventions,Économie et finances, fiscalité;0;0;Belgique;;13-belgique_impositions_revenus
pjl19-315;projet de loi Accords France-Turkménistan et France-États-Unis;projet de loi;2020-02-12;https://www.senat.fr/dossier-legislatif/pjl19-315.html;promulgué;;;2020-10-10;Loi n° 2020-1238 du 9 octobre 2020;Affaires étrangères et coopération,Traités et conventions;0;0;Accords France-Turkménistan et France-États-Unis;;15-accords_turkmenistan_etats-unis_personnes_charge_agents
pjl10-022;projet de loi autorisant l'approbation de l'accord sous forme d'échange de lettres entre le Gouvernement de la République française et le Gouvernement d'Antigua-et-Barbuda relatif à l'échange de renseignements en matière fiscale;projet de loi;2010-06-09;https://www.senat.fr/dossier-legislatif/pjl10-022.html;promulgué;;;2010-11-16;Loi n° 2010-1383 du 13 novembre 2010;Traités et conventions,Économie et finances, fiscalité;0;12975;Antigua-et-Barbuda;;13-Antigua_Barbuda_echange_fiscal
pjl17-334;projet de loi ratifiant l'ordonnance n° 2017-157 du 9 février 2017 étendant et adaptant à la Polynésie française certaines dispositions du livre IV du code de commerce relatives aux contrôles et aux sanctions en matière de concurrence;projet de loi;2018-02-28;https://www.senat.fr/dossier-legislatif/pjl17-334.html;promulgué;;;2018-07-24;Loi n° 2018-643 du 23 juillet 2018;Outre-mer,PME, commerce et artisanat;11;69786;Sanctions en matière de concurrence en Polynésie française;;15-ratification_ordonnance_2017-157
pjl14-153;projet de loi autorisant l'approbation de la convention entre la France et Andorre en vue d'éviter les doubles impositions et de prévenir l'évasion et la fraude fiscales en matière d'impôts sur le revenu;projet de loi;2014-06-11;https://www.senat.fr/dossier-legislatif/pjl14-153.html;promulgué;;;2015-03-14;Loi n° 2015-279 du 13 mars 2015;Affaires étrangères et coopération,Économie et finances, fiscalité;0;51992;Andorre;;14-convention_fiscale_Andorre
ppl19-585;proposition de loi visant à consolider les outils des collectivités permettant d'assurer un meilleur accueil des gens du voyage;proposition de loi;2020-07-01;https://www.senat.fr/dossier-legislatif/ppl19-585.html;;;;;;Collectivités territoriales,Société,Questions sociales et santé;17;26525;Assurer un meilleur accueil des gens du voyage;;15-DLR5L15N40044
ppl18-216;proposition de loi visant à encourager et développer les stages dans le milieu associatif;proposition de loi;2018-12-18;https://www.senat.fr/dossier-legislatif/ppl18-216.html;;;;;;Société,Travail,Éducation;0;0;Stages dans le milieu associatif;;
ppl20-232;proposition de loi tendant à appliquer diverses mesures urgentes pour lutter contre les fraudes sociales;proposition de loi;2020-12-15;https://www.senat.fr/dossier-legislatif/ppl20-232.html;;;;;;Budget,Sécurité sociale;42;8659;Lutter contre les fraudes sociales;;15-DLR5L15N41166
15-interdiction_pratiques_modifiant_orientation_sexuelle;Interdiction des pratiques visant à modifier l’orientation sexuelle ou l’identité de genre d’une personne;proposition de loi;2021-03-23;http://www.assemblee-nationale.fr/dyn/15/dossiers/interdiction_pratiques_modifiant_orientation_sexuelle;;;;;;;179;0;Interdiction des pratiques visant à modifier l’orientation sexuelle ou l’identité de genre d’une personne;;15-interdiction_pratiques_modifiant_orientation_sexuelle
pjl11-716;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République socialiste du Vietnam, pour la création et le développement de l'université des sciences et des technologies de Hanoï;projet de loi;2011-12-07;https://www.senat.fr/dossier-legislatif/pjl11-716.html;promulgué;;;2012-12-29;Loi n° 2012-1475 du 28 décembre 2012;Affaires étrangères et coopération;0;0;Université de Hanoï;;14-accord_universite_sciences_Hanoi
ppl18-065;proposition de loi visant à instaurer le port d'uniformes scolaires et de blouses à l'école et au collège;proposition de loi;2018-10-19;https://www.senat.fr/dossier-legislatif/ppl18-065.html;;;;;;Société,Éducation;0;0;Uniforme scolaire;;
pjl11-166;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République socialiste du Vietnam relatif aux centres culturels;projet de loi;2011-12-07;https://www.senat.fr/dossier-legislatif/pjl11-166.html;promulgué;;;2013-07-13;Loi n° 2013-614 du 11 juillet 2013;Affaires étrangères et coopération,Traités et conventions,Culture;0;0;Vietnam : centres culturels;;14-accord_Vietnam_centres_culturels
pjl18-358;projet de loi relatif aux compétences de la Collectivité européenne d'Alsace;projet de loi;2019-02-27;https://www.senat.fr/dossier-legislatif/pjl18-358.html;promulgué;;;2019-08-03;Loi n° 2019-816 du 2 août 2019;Collectivités territoriales,Union européenne,Pouvoirs publics et Constitution;856;374001;Collectivité européenne d'Alsace;;15-competences_collectivite_europeenne_alsace
ppl18-043;proposition de loi organique relative à la nomination du directeur général de l'Agence nationale de la cohésion des territoires;proposition de loi;2018-10-16;https://www.senat.fr/dossier-legislatif/ppl18-043.html;promulgué;conforme;2019-07-25;2019-07-28;Loi n° 2019-790 du 26 juillet 2019;Collectivités territoriales,Pouvoirs publics et Constitution,Aménagement du territoire;6;399332;Directeur général de l'Agence nationale de la cohésion des territoires (texte organique);;15-directeur_general_agence_nationale_cohesion_territoires
pjl08-159;projet de loi autorisant la ratification du traité de Singapour sur le droit des marques;projet de loi;2009-01-14;https://www.senat.fr/dossier-legislatif/pjl08-159.html;promulgué;;;2009-05-26;Loi n° 2009-582 du 25 mai 2009;Affaires étrangères et coopération,Traités et conventions,Entreprises;0;0;Droit des marques;;13-droit_marques
ppl18-403;proposition de loi pour une philanthropie à la française;proposition de loi;2019-03-25;https://www.senat.fr/dossier-legislatif/ppl18-403.html;;;;;;Société,Culture,Entreprises;0;0;Philanthropie à la française;;
pjl12-734;projet de loi organique interdisant le cumul de fonctions exécutives locales avec le mandat de député ou de sénateur;projet de loi;2013-04-03;https://www.senat.fr/dossier-legislatif/pjl12-734.html;promulgué;partiellement conforme;2014-02-13;2014-02-16;Loi n° 2014-125 du 14 février 2014;Collectivités territoriales,Pouvoirs publics et Constitution;812;295707;Cumul des fonctions (texte organique);;14-non-cumul_executif_local_depute_senateur
pjl20-538;projet de loi autorisant la ratification de l'accord de partenariat stratégique entre l'Union européenne et ses États membres, d'une part, et le Japon, d'autre part;projet de loi;2020-11-25;https://www.senat.fr/dossier-legislatif/pjl20-538.html;;;;;;Affaires étrangères et coopération,Union européenne;0;0;Accord entre l'Union européenne et le Japon;;15-partenariat_ue_japon
15-ethique_de_l_urgence;Ethique de l’urgence;proposition de loi;2020-06-02;http://www.assemblee-nationale.fr/dyn/15/dossiers/ethique_de_l_urgence;;;;;;;11;0;Ethique de l’urgence;;15-ethique_de_l_urgence
ppl09-523;proposition de loi modifiant la loi n° 99-418 du 26 mai 1999 créant le Conseil national des communes « Compagnon de la Libération »;proposition de loi;2009-12-15;https://www.senat.fr/dossier-legislatif/ppl09-523.html;promulgué;;;2012-03-10;Loi n° 2012-339 du 9 mars 2012;Collectivités territoriales,Anciens combattants;0;7171;"Conseil national des communes ""Compagnon de la Libération""";;13-modif_conseil_nat_communes_liberation
pjl09-375;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de l'Ile de Man en vue d'éviter la double imposition des entreprises exploitant, en trafic international, des navires ou des aéronefs;projet de loi;2010-03-31;https://www.senat.fr/dossier-legislatif/pjl09-375.html;promulgué;;;2011-10-14;Loi n° 2011-1279 du 13 octobre 2011;Traités et conventions,Économie et finances, fiscalité,Transports,Entreprises;0;9314;Double imposition;;13-imposition_navires_aeronefs
pjl18-648;projet de loi autorisant l'approbation du protocole entre le Gouvernement de la République française et le Gouvernement de la République de Djibouti relatif aux compétences de la prévôté sur le territoire de la République de Djibouti;projet de loi;2018-07-11;https://www.senat.fr/dossier-legislatif/pjl18-648.html;promulgué;;;2019-10-29;Loi n° 2019-1093 du 28 octobre 2019;Affaires étrangères et coopération;0;18699;Accord France - Djibouti;;
ppl20-027;proposition de loi visant à réduire l'empreinte environnementale du numérique en France;proposition de loi;2020-10-12;https://www.senat.fr/dossier-legislatif/ppl20-027.html;;;;;;Société,Environnement;143;23098;Réduire l'empreinte environnementale du numérique en France;;15-DLR5L15N40696
pjl08-357;projet de loi autorisant l'approbation de la convention entre la France et la Géorgie en vue d'éviter les doubles impositions et de prévenir l'évasion fiscale en matière d'impôts sur le revenu et sur la fortune;projet de loi;2008-07-16;https://www.senat.fr/dossier-legislatif/pjl08-357.html;promulgué;;;2010-03-03;Loi n° 2010-202 du 2 mars 2010;Affaires étrangères et coopération,Traités et conventions,Économie et finances, fiscalité;0;0;Géorgie;;13-convention_georgie_impots
pjl18-090;projet de loi portant ratification de deux ordonnances prises sur le fondement du 1° du I de l'article 109 de la loi n° 2016-1547 du 18 novembre 2016 de modernisation de la justice du XXIe siècle;projet de loi;2018-10-30;https://www.senat.fr/dossier-legislatif/pjl18-090.html;;;;;;Justice;0;0;Modernisation de la justice du XXIe siècle;;
ppl16-039;proposition de loi relative au défibrillateur cardiaque;proposition de loi;2016-08-31;https://www.senat.fr/dossier-legislatif/ppl16-039.html;promulgué;;;2018-06-29;Loi n° 2018-527 du 28 juin 2018;Société,Questions sociales et santé;25;37499;Défibrillateur cardiaque;;14-defibrillateur_cardiaque
ppl17-711;proposition de loi tendant à renforcer l'encadrement des rave-parties et les sanctions à l'encontre de leurs organisateurs;proposition de loi;2018-09-10;https://www.senat.fr/dossier-legislatif/ppl17-711.html;;;;;;Police et sécurité,Environnement,Justice;4;95763;Renforcer l'encadrement des rave-parties;;15-encadrement_rave-parties
pjl07-279;projet de loi autorisant la mise à disposition de personnels de la police nationale française au profit de la Principauté de Monaco à l'occasion d'événements particuliers;projet de loi;2008-02-13;https://www.senat.fr/dossier-legislatif/pjl07-279.html;promulgué;;;2008-05-23;Loi n° 2008-471 du 22 mai 2008;Affaires étrangères et coopération,Police et sécurité,Traités et conventions;0;0;Monaco;;13-monaco_mad_police_evts
pjl09-713;projet de loi portant réforme des retraites;projet de loi;2010-07-13;https://www.senat.fr/dossier-legislatif/pjl09-713.html;promulgué;partiellement conforme;2010-11-09;2011-05-25;Loi n° 2010-1330 du 9 novembre 2010;Société,Fonction publique,Travail,Entreprises;1756;1394910;Retraites;;13-reforme_retraites
pjl09-546;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République de Saint-Marin relatif à l'échange de renseignements en matière fiscale;projet de loi;2010-02-23;https://www.senat.fr/dossier-legislatif/pjl09-546.html;promulgué;;;2010-07-24;Loi n° 2010-847 du 23 juillet 2010;Affaires étrangères et coopération,Économie et finances, fiscalité;0;0;Saint-Marin;;13-saint_marin_echange_fiscal
pjl12-702;projet de loi autorisant l'approbation du protocole entre le Gouvernement de la République française et le Gouvernement de la République de Serbie concernant la réadmission des personnes en séjour irrégulier;projet de loi;2012-07-18;https://www.senat.fr/dossier-legislatif/pjl12-702.html;promulgué;;;2014-07-08;Loi n° 2014-772 du 7 juillet 2014;Affaires étrangères et coopération,Police et sécurité;0;0;Serbie;;14-readmission_sejour_irregulier_Serbie
pjl20-223;projet de loi autorisant la ratification du protocole portant amendement de la convention relative aux infractions et à certains autres actes survenant à bord des aéronefs;projet de loi;2019-12-11;https://www.senat.fr/dossier-legislatif/pjl20-223.html;promulgué;;;2021-02-04;Loi n° 2021-107 du 3 février 2021;Affaires étrangères et coopération;0;16547;Convention relative aux infractions à bord des aéronefs;;15-protocole_amendement_convention_infractions_aeronefs
pjl16-582;projet de loi autorisant la ratification de la convention internationale sur les normes de formation du personnel des navires de pêche, de délivrance des brevets et de veille (STCW-F);projet de loi;2017-06-14;https://www.senat.fr/dossier-legislatif/pjl16-582.html;promulgué;;;2019-04-09;Loi n° 2019-284 du 8 avril 2019;Agriculture et pêche,Affaires étrangères et coopération,Traités et conventions;0;13800;Convention de formation du personnel des navires de pêche;;15-convention_formation_personnel_navires_peche
ppl13-719;proposition de loi relative à la sécurisation des transactions relatives à la zone d'aménagement concerté du quartier de Gerland (Lyon);proposition de loi;2014-06-13;https://www.senat.fr/dossier-legislatif/ppl13-719.html;promulgué;;;2014-08-06;Loi n° 2014-878 du 4 août 2014;Aménagement du territoire;2;39937;Aménagement du quartier de Gerland à Lyon;;14-securisation_transactions_ZAC_Gerland
pjl15-863;projet de loi autorisant l'approbation de l'accord avec le Gouvernement de la République d'Autriche relatif au statut juridique des personnels de l'armée fédérale autrichienne au cours de leur séjour dans la collectivité territoriale française de Guyane;projet de loi;2016-05-04;https://www.senat.fr/dossier-legislatif/pjl15-863.html;promulgué;;;2016-11-19;Loi n° 2016-1548 du 18 novembre 2016;Affaires étrangères et coopération,Outre-mer,Défense;0;11453;Accord avec l'Autriche sur le statut des militaires;;14-accord_autriche_personnels_armee_guyane
pjl12-688;projet de loi organique relatif à la transparence de la vie publique;projet de loi;2013-04-24;https://www.senat.fr/dossier-legislatif/pjl12-688.html;promulgué;partiellement conforme;2013-10-09;2013-10-12;Loi n° 2013-906 du 11 octobre 2013;Pouvoirs publics et Constitution;982;616242;Transparence de la vie publique (texte organique);;14-transparence_vie_publique_pjl
ppl09-183;proposition de loi tendant à autoriser les petits consommateurs domestiques et non domestiques d'électricité et de gaz naturel à accéder ou à retourner au tarif réglementé;proposition de loi;2009-12-17;https://www.senat.fr/dossier-legislatif/ppl09-183.html;promulgué;;;2010-06-08;Loi n° 2010-607 du 7 juin 2010;Société,PME, commerce et artisanat,Énergie,Entreprises;9;42931;Tarif réglementé d'électricité;;13-tarif_reglemente_electricite
ppl18-313;proposition de loi visant à renforcer l'identification, le contrôle et le suivi de l'instruction à domicile;proposition de loi;2019-02-13;https://www.senat.fr/dossier-legislatif/ppl18-313.html;;;;;;Culture,Éducation;0;0;Instruction à domicile;;
pjl11-243;projet de loi portant application de l'article 11 de la Constitution;projet de loi;2010-12-22;https://www.senat.fr/dossier-legislatif/pjl11-243.html;promulgué;;;2013-12-07;Loi n° 2013-1116 du 6 décembre 2013;Pouvoirs publics et Constitution;55;138548;Référendum;;14-art11_Constitution_pl
ppl18-320;proposition de loi visant à harmoniser la notion de jour dans la législation du travail;proposition de loi;2019-02-14;https://www.senat.fr/dossier-legislatif/ppl18-320.html;;;;;;Société,Travail;0;0;Notion de jour dans la législation du travail;;
ppl12-243;proposition de loi portant réforme de la biologie médicale;proposition de loi;2012-12-19;https://www.senat.fr/dossier-legislatif/ppl12-243.html;promulgué;;;2013-05-31;Loi n° 2013-442 du 30 mai 2013;Questions sociales et santé,Sécurité sociale;162;179593;Biologie médicale;;14-biologie_medicale_reforme
ppl16-589;proposition de loi visant à simplifier et mieux encadrer le régime d'ouverture des établissements privés hors contrat;proposition de loi;2017-06-27;https://www.senat.fr/dossier-legislatif/ppl16-589.html;promulgué;;;2018-04-21;Loi n° 2018-266 du 13 avril 2018;Culture,Famille,Éducation;109;108096;Régime d'ouverture des établissements privés hors contrat;;15-encadrement_ouverture_etablissements_hors_contrat
pjl16-550;projet de loi ratifiant l'ordonnance n° 2017-717 du 3 mai 2017 portant création de l'établissement public Paris La Défense;projet de loi;2017-05-10;https://www.senat.fr/dossier-legislatif/pjl16-550.html;promulgué;;;2017-12-27;Loi n° 2017-1754 du 25 décembre 2017;Culture,Éducation;50;125352;Création de l'établissement public Paris La Défense;;14-ratification_ordonnance_2017-717
pjl16-467;projet de loi autorisant la ratification de l'accord avec le Portugal relatif à la sécurité civile et l'approbation de l'accord avec le Luxembourg relatif à la protection et de la sécurité civiles;projet de loi;2017-03-15;https://www.senat.fr/dossier-legislatif/pjl16-467.html;promulgué;;;2017-10-19;Loi n° 2017-1478 du 18 octobre 2017;Affaires étrangères et coopération,Police et sécurité,Justice;0;0;Accords sur la sécurité civile - Portugal et le Luxembourg;;14-accords_portugal_luxembourg_securite_civile
15-valorisation_volontariat_sapeurs-pompiers;Valorisation du volontariat des sapeurs-pompiers;proposition de loi;2020-06-30;http://www.assemblee-nationale.fr/dyn/15/dossiers/valorisation_volontariat_sapeurs-pompiers;;;;;;;1651;0;Valorisation du volontariat des sapeurs-pompiers;;15-valorisation_volontariat_sapeurs-pompiers
pjl11-205;projet de loi portant réforme des ports d'outre-mer relevant de l'État et diverses dispositions d'adaptation de la législation au droit de l'Union européenne dans le domaine des transports;projet de loi;2011-10-19;https://www.senat.fr/dossier-legislatif/pjl11-205.html;promulgué;;;2012-02-25;Loi n° 2012-260 du 22 février 2012;Union européenne,Outre-mer,Transports;81;61556;Réforme des ports d'outre-mer;;13-reforme_ports_outre-mer
15-octroi_prime_benevole_performance;Prime bénévole de performance libre de cotisation sociale et d’imposition fiscale;proposition de loi;2017-10-17;http://www.assemblee-nationale.fr/dyn/15/dossiers/octroi_prime_benevole_performance;;;;;;;0;0;Prime bénévole de performance libre de cotisation sociale et d’imposition fiscale;;15-octroi_prime_benevole_performance
15-communication_audiovisuel_et_souverainete_culturelle_pjlo;Communication audiovisuelle et souveraineté culturelle (loi organique);projet de loi;2019-12-05;http://www.assemblee-nationale.fr/dyn/15/dossiers/communication_audiovisuel_et_souverainete_culturelle_pjlo;;;;;;;5;0;Communication audiovisuelle et souveraineté culturelle (loi organique);;15-communication_audiovisuel_et_souverainete_culturelle_pjlo
15-parrainages_citoyens_pour_la_candidature_a_lelection_presidentielle;Parrainages citoyens pour la candidature à l'élection présidentielle;proposition de loi;2020-10-26;http://www.assemblee-nationale.fr/dyn/15/dossiers/parrainages_citoyens_pour_la_candidature_a_lelection_presidentielle;;;;;;;25;0;Parrainages citoyens pour la candidature à l'élection présidentielle;;15-parrainages_citoyens_pour_la_candidature_a_lelection_presidentielle
ppl19-319;proposition de loi portant diverses mesures de justice sociale;proposition de loi;2019-12-30;https://www.senat.fr/dossier-legislatif/ppl19-319.html;;;;;;Justice,Questions sociales et santé,Sécurité sociale;11;26440;Diverses mesures de justice sociale;;15-mesures_justice_sociale
pjl16-272;projet de loi autorisant l'approbation de l'accord multilatéral entre autorités compétentes portant sur l'échange des déclarations pays par pays;projet de loi;2016-11-02;https://www.senat.fr/dossier-legislatif/pjl16-272.html;promulgué;;;2017-02-02;Loi n° 2017-117 du 1er février 2017;Affaires étrangères et coopération,Économie et finances, fiscalité;1;7819;Accord portant sur l'échange des déclarations pays par pays;;14-accord_multilateral_echange_declarations
pjl07-334;projet de loi autorisant l'approbation de l'accord relatif aux services aériens entre le Gouvernement de la République française et le Gouvernement de la région administrative spéciale de Macao de la République populaire de Chine;projet de loi;2008-05-14;https://www.senat.fr/dossier-legislatif/pjl07-334.html;promulgué;;;2008-10-24;Loi n° 2008-1074 du 23 octobre 2008;Affaires étrangères et coopération,Traités et conventions,Transports;0;0;Macao;;13-france_macao_accord_services_aeriens
plfss2012;projet de loi de financement de la sécurité sociale de financement de la sécurité sociale pour 2012;projet de loi;2011-10-05;https://www.senat.fr/dossier-legislatif/plfss2012.html;promulgué;partiellement conforme;2011-12-15;2011-12-22;Loi n° 2011-1906 du 21 décembre 2011;Budget,Sécurité sociale;1139;725984;Sécurité sociale;;13-plfss_2012
pjl13-662;projet de loi autorisant la ratification de l'accord euro-méditerranéen relatif aux services aériens entre l'Union européenne et ses Etats membres, d'une part, et le Royaume hachémite de Jordanie, d'autre part;projet de loi;2012-09-12;https://www.senat.fr/dossier-legislatif/pjl13-662.html;promulgué;;;2014-11-14;Loi n° 2014-1351 du 13 novembre 2014;Affaires étrangères et coopération,Union européenne,Transports;0;45793;Accord aérien avec la Jordanie;;14-accord_euro-mediterraneen_services_aeriens_UE_Jordanie
ppl13-790;proposition de loi de simplification, de clarification et d'actualisation du code de commerce;proposition de loi;2014-08-04;https://www.senat.fr/dossier-legislatif/ppl13-790.html;promulgué;;;2019-07-20;Loi n° 2019-744 du 19 juillet 2019;Économie et finances, fiscalité,PME, commerce et artisanat,Entreprises;145;33178;Simplification du code de commerce;;14-simplification_actualisation_code_commerce
pjl09-292;projet de loi d'orientation et de programmation pour la performance de la sécurité intérieure;projet de loi;2009-05-27;https://www.senat.fr/dossier-legislatif/pjl09-292.html;promulgué;partiellement conforme;2011-03-10;2011-03-23;Loi n° 2011-267 du 14 mars 2011;Police et sécurité,Justice;1205;539684;Loppsi 2 - Sécurité intérieure;;13-lopsi_performance
pjl08-583;projet de loi autorisant l'approbation de l'accord de coopération dans le domaine de la défense entre le Gouvernement de la République française et le Gouvernement de la République libanaise;projet de loi;2009-07-22;https://www.senat.fr/dossier-legislatif/pjl08-583.html;promulgué;;;2011-01-04;Loi n° 2011-8 du 3 janvier 2011;Affaires étrangères et coopération;0;21791;Liban;;13-liban_defense
pjl08-333;projet de loi autorisant la ratification de l'accord entre l'Irlande, les Pays-Bas, l'Espagne, l'Italie, le Portugal, la France et le Royaume-Uni , établissant un centre opérationnel d'analyse du renseignement maritime pour les stupéfiants;projet de loi;2009-04-08;https://www.senat.fr/dossier-legislatif/pjl08-333.html;promulgué;;;2009-10-08;Loi n° 2009-1188 du 7 octobre 2009;Affaires étrangères et coopération,Police et sécurité;0;0;Renseignement maritime;;13-centre_renseignt_stup
ppl18-304;proposition de loi tendant à restreindre le droit du sol pour l'obtention de la nationalité française, à rétablir le principe de l'expulsion des étrangers condamnés pour crime ou délit et à supprimer la gratuité des soins médicaux pour les étrangers en situation irrégulièr;proposition de loi;2019-02-11;https://www.senat.fr/dossier-legislatif/ppl18-304.html;;;;;;Société,Police et sécurité,Justice,Sécurité sociale;0;0;Droit du sol, étrangers condamnés ou en situation irrégulière;;
15-reforme_fiscalite_succession;Réformer la fiscalité des droits de succession et de donation : protéger les classes moyennes et populaires, et mieux redistribuer les richesses;proposition de loi;2020-10-14;http://www.assemblee-nationale.fr/dyn/15/dossiers/reforme_fiscalite_succession;;;;;;;64;11758;Réformer la fiscalité des droits de succession et de donation : protéger les classes moyennes et populaires, et mieux redistribuer les richesses;;15-reforme_fiscalite_succession
