id;Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes;total_amendements;total_mots;short_title;loi_dite;assemblee_id
15-encadrement_sous-traitance_femmes_de_menage;Femmes de ménage : encadrer la sous-traitance;proposition de loi;2020-05-12;http://www.assemblee-nationale.fr/dyn/15/dossiers/encadrement_sous-traitance_femmes_de_menage;;;;;;;35;0;Femmes de ménage : encadrer la sous-traitance;;15-encadrement_sous-traitance_femmes_de_menage
ppl18-235;proposition de loi visant à permettre aux sociétés civiles agricoles de réaliser des prestations de service;proposition de loi;2019-01-09;https://www.senat.fr/dossier-legislatif/ppl18-235.html;;;;;;Agriculture et pêche;0;0;Sociétés civiles agricoles;;
ppl18-067;proposition de loi visant à instaurer une contribution obligatoire aux frais d'incarcération des détenus;proposition de loi;2018-10-19;https://www.senat.fr/dossier-legislatif/ppl18-067.html;;;;;;Justice;0;0;Frais d'incarcération des détenus;;
pjl12-690;projet de loi relatif à la lutte contre la fraude fiscale et la grande délinquance économique et financière;projet de loi;2013-04-24;https://www.senat.fr/dossier-legislatif/pjl12-690.html;promulgué;partiellement conforme;2013-12-04;2013-12-07;Loi n° 2013-1117 du 6 décembre 2013;Justice,Économie et finances, fiscalité;716;131712;Lutte contre la fraude fiscale;;14-lutte_fraude_fiscale
ppl18-360;proposition de loi tendant à renforcer la parité dans les exécutifs des collectivités territoriales;proposition de loi;2019-03-04;https://www.senat.fr/dossier-legislatif/ppl18-360.html;;;;;;Collectivités territoriales,Société;0;0;Parité dans les exécutifs des collectivités territoriales;;
pjl14-340;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la Nouvelle-Zélande concernant le statut des forces en visite et la coopération en matière de défense;projet de loi;2015-03-11;https://www.senat.fr/dossier-legislatif/pjl14-340.html;promulgué;;;2016-07-05;Loi n° 2016-912 du 4 juillet 2016;Affaires étrangères et coopération,Défense;0;0;Accord de défense avec la Nouvelle-Zélande;;14-accord_Nouvelle-Zelande_statut_forces_visite
pjl08-190;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République du Kenya sur l'encouragement et la protection réciproques des investissements.;projet de loi;2008-10-01;https://www.senat.fr/dossier-legislatif/pjl08-190.html;promulgué;;;2009-04-17;Loi n° 2009-412 du 16 avril 2009;Affaires étrangères et coopération,Traités et conventions;0;0;Kenya;;13-kenya_investissements
ppl19-714;proposition de loi visant à supprimer la possibilité ouverte au dirigeant d'une entreprise de déposer une offre de rachat de l'entreprise après avoir organisé son dépôt de bilan;proposition de loi;2020-09-21;https://www.senat.fr/dossier-legislatif/ppl19-714.html;;;;;;Économie et finances, fiscalité,Questions sociales et santé,Travail;0;0;Supprimer la possibilité de rachat par le dirigeant après le dépôt de bilan;;
pjl10-037;projet de loi autorisant l'approbation de la convention entre le Gouvernement de la République française et le Gouvernement de la Principauté de Monaco relative à l'approvisionnement de la Principauté de Monaco en électricité;projet de loi;2010-10-13;https://www.senat.fr/dossier-legislatif/pjl10-037.html;promulgué;;;2012-02-18;Loi n° 2012-227 du 17 février 2012;Affaires étrangères et coopération,Énergie;0;0;Monaco;;13-approvisionnement_monaco_electricite
ppl17-508;proposition de loi visant à prévenir la récidive des agressions sexuelles;proposition de loi;2018-05-25;https://www.senat.fr/dossier-legislatif/ppl17-508.html;;;;;;Société,Police et sécurité,Justice;0;0;Prévention de la récidive des agressions sexuelles;;
ppl14-489;proposition de loi visant à protéger les sportifs de haut niveau et professionnels et à sécuriser leur situation juridique et sociale;proposition de loi;2015-04-15;https://www.senat.fr/dossier-legislatif/ppl14-489.html;promulgué;;;2015-11-28;Loi n° 2015-1541 du 27 novembre 2015;Sports;158;105704;Sportifs de haut niveau et professionnels;;14-protection_sportifs_haut_niveau_professionnels
pjl10-066;projet de loi de programmation des finances publiques pour les années 2011 à 2014;projet de loi;2010-09-29;https://www.senat.fr/dossier-legislatif/pjl10-066.html;promulgué;;;2010-12-29;Loi n° 2010-1645 du 28 décembre 2010;Budget,Économie et finances, fiscalité;42;11550;Budget;;13-loi_finances_1114
pjl16-637;projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social;projet de loi;2017-06-29;https://www.senat.fr/dossier-legislatif/pjl16-637.html;promulgué;;2017-09-07;2017-09-16;Loi n° 2017-1340 du 15 septembre 2017;Société,Questions sociales et santé,Travail;867;1376983;Renforcer le dialogue social;;15-habilitation_ordonnances_dialogue_social
pjl09-200;projet de loi de modernisation de l'agriculture et de la pêche;projet de loi;2010-01-13;https://www.senat.fr/dossier-legislatif/pjl09-200.html;promulgué;;;2010-07-28;Loi n° 2010-874 du 27 juillet 2010;Agriculture et pêche;1926;692666;Agriculture et pêche;;13-modernisation_agriculture_peche
pjl14-276;projet de loi ratifiant l'ordonnance n° 2014-1090 du 26 septembre 2014 relative à la mise en accessibilité des établissements recevant du public, des transports publics, des bâtiments d'habitation et de la voirie pour les personnes handicapées;projet de loi;2015-02-04;https://www.senat.fr/dossier-legislatif/pjl14-276.html;promulgué;;;2015-08-06;Loi n° 2015-988 du 5 août 2015;Société,Questions sociales et santé;111;141465;Accessibilité pour les personnes handicapées;;14-mise_accessibilite_personnes_handicapees
pjl07-488;projet de loi Accord France-Allemagne concernant l'échange de renseignements sur les titulaires du certificat d'immatriculation de véhicules;projet de loi;2008-07-23;https://www.senat.fr/dossier-legislatif/pjl07-488.html;promulgué;;;2011-01-04;Loi n° 2011-2 du 3 janvier 2011;Affaires étrangères et coopération,Traités et conventions,Transports;0;0;Infractions routières;;13-allemagne_vehicules
ppl18-095;proposition de loi Supprimer toute impunité pénale des responsables d'entreprise dans le drame de l'amiante;proposition de loi;2018-10-30;https://www.senat.fr/dossier-legislatif/ppl18-095.html;;;;;;Justice,Questions sociales et santé,Entreprises;0;0;Supprimer toute impunité pénale dans le drame de l'amiante;;
pjl11-182;projet de loi autorisant l'approbation de l'avenant à la convention entre la France et l'Arabie saoudite en vue d'éviter les doubles impositions en matière d'impôts sur le revenu, sur les successions et sur la fortune;projet de loi;2011-10-26;https://www.senat.fr/dossier-legislatif/pjl11-182.html;promulgué;;;2012-03-08;Loi n° 2012-319 du 7 mars 2012;Affaires étrangères et coopération,Économie et finances, fiscalité;0;0;Arabie Saoudite;;13-doubles_impositions_Arabie_saoudite
ppl09-693;proposition de loi portant diverses dispositions d'adaptation de la législation au droit communautaire;proposition de loi;2010-09-06;https://www.senat.fr/dossier-legislatif/ppl09-693.html;promulgué;;;2011-01-06;Loi n° 2011-12 du 5 janvier 2011;Environnement,Union européenne,Transports,Travail;117;80725;Droit communautaire;;13-adaptation_droit_communautaire
15-democratie_representative_responsable_efficace_pjo;Pouvoirs publics : démocratie plus représentative, responsable et efficace;projet de loi;2018-05-23;http://www.assemblee-nationale.fr/dyn/15/dossiers/democratie_representative_responsable_efficace_pjo;;;;;;;0;0;Pouvoirs publics : démocratie plus représentative, responsable et efficace;;15-democratie_representative_responsable_efficace_pjo
pjl18-275;projet de loi organique modifiant la loi organique n° 2010-837 du 23 juillet 2010 relative à l'application du cinquième alinéa de l'article 13 de la Constitution;projet de loi;2018-11-14;https://www.senat.fr/dossier-legislatif/pjl18-275.html;promulgué;conforme;2019-07-25;2019-07-28;Loi n° 2019-789 du 26 juillet 2019;Pouvoirs publics et Constitution;11;299329;Application du 5ème alinéa de l'article 13 de la Constitution (texte organique);;15-modification_loi_2010-837
15-integrite_mandats_electifs;Pouvoirs publics : intégrité des mandats électifs et de la représentation nationale;proposition de loi;2018-03-21;http://www.assemblee-nationale.fr/dyn/15/dossiers/integrite_mandats_electifs;;;;;;;35;15897;Pouvoirs publics : intégrité des mandats électifs et de la représentation nationale;;15-integrite_mandats_electifs
ppl07-195;proposition de loi relative à l'extension du chèque emploi associatif;proposition de loi;2008-01-21;https://www.senat.fr/dossier-legislatif/ppl07-195.html;promulgué;;;2008-04-17;Loi n° 2008-350 du 16 avril 2008;Société,Famille,PME, commerce et artisanat;0;57485;Chèque emploi associatif;;13-cheque_emploi_associatif
pjl20-228;projet de loi ratifiant l'ordonnance n° 2019-950 du 11 septembre 2019 portant partie législative du code de la justice pénale des mineurs;projet de loi;2019-10-30;https://www.senat.fr/dossier-legislatif/pjl20-228.html;promulgué;;;2021-02-27;Loi n° 2021-218 du 26 février 2021;Justice;925;351021;Code de la justice pénale des mineurs;;15-ratification_ordonnance_2019-950
15-droit_demande_indemnite_fonds_garantie_victimes_actes_terrorisme;Demande d'indemnité au fonds de garantie des victimes des actes de terrorisme et autres infractions;proposition de loi;2019-11-06;http://www.assemblee-nationale.fr/dyn/15/dossiers/droit_demande_indemnite_fonds_garantie_victimes_actes_terrorisme;;;;;;;0;0;Demande d'indemnité au fonds de garantie des victimes des actes de terrorisme et autres infractions;;15-droit_demande_indemnite_fonds_garantie_victimes_actes_terrorisme
ppl20-157;proposition de loi visant à améliorer les conditions de présence parentale auprès d'un enfant dont la pathologie nécessite un accompagnement soutenu;proposition de loi;2020-10-14;https://www.senat.fr/dossier-legislatif/ppl20-157.html;;;;;;Famille,Questions sociales et santé;20;0;Présence parentale auprès d'un enfant;;15-presence_parentale_pathologie_enfant
ppl16-368;proposition de loi visant à assurer la revalorisation des pensions de retraite agricoles en France continentale et dans les outre-mer;proposition de loi;2016-12-21;https://www.senat.fr/dossier-legislatif/ppl16-368.html;promulgué;;;2020-07-04;Loi n° 2020-839 du 3 juillet 2020;Agriculture et pêche,Économie et finances, fiscalité,Questions sociales et santé;97;104016;Revalorisation des pensions de retraite agricoles;;14-revalorisation_pensions_retraites_agricoles
pjl12-365;projet de loi de séparation et de régulation des activités bancaires;projet de loi;2012-12-19;https://www.senat.fr/dossier-legislatif/pjl12-365.html;promulgué;;;2013-11-14;Loi n° 2013-672 du 26 juillet 2013;Économie et finances, fiscalité;1352;793809;Activités bancaires;;14-separation_regulation_activites_bancaires
15-plfss_pour_2022;Loi de financement de la sécurité sociale pour 2022;projet de loi;2021-10-07;http://www.assemblee-nationale.fr/dyn/15/dossiers/plfss_pour_2022;;;;;;;0;0;Loi de financement de la sécurité sociale pour 2022;;15-plfss_pour_2022
pjl10-199;projet de loi autorisant l'approbation de l'accord France-Belgique concernant l'échange d'informations et de données à caractère personnel relatives aux titulaires du certificat d'immatriculation de véhicules;projet de loi;2010-10-20;https://www.senat.fr/dossier-legislatif/pjl10-199.html;promulgué;;;2011-06-21;Loi n° 2011-693 du 20 juin 2011;Affaires étrangères et coopération,Police et sécurité;0;10910;Belgique;;13-Belgique_immatriculations
pjl14-138;projet de loi autorisant la ratification de l'amendement au protocole de Kyoto du 11 décembre 1997;projet de loi;2014-04-10;https://www.senat.fr/dossier-legislatif/pjl14-138.html;promulgué;;;2015-01-01;Loi n° 2014-1753 du 30 décembre 2014;Affaires étrangères et coopération,Environnement;0;0;Protocole de Kyoto;;14-ratification_amendement_protocole_Kyoto_1997
ppl14-574;proposition de loi organique relative au statut des autorités administratives indépendantes créées par la Nouvelle-Calédonie;proposition de loi;2015-06-30;https://www.senat.fr/dossier-legislatif/ppl14-574.html;promulgué;;2016-04-21;2016-04-26;Loi n° 2016-507 du 25 avril 2016;Pouvoirs publics et Constitution,Outre-mer,Fonction publique;2;20044;Autorités administratives indépendantes en Nouvelle-Calédonie (texte organique);;14-statut_aai_nouvelle-caledonie
ppl17-622;proposition de loi relative à l'interdiction des signes prosélytes ou contraires à l'égale dignité entre les hommes et les femmes à l'Université;proposition de loi;2018-07-03;https://www.senat.fr/dossier-legislatif/ppl17-622.html;;;;;;Société,Éducation;0;0;Interdiction de certains signes à l'Université;;
ppl20-200;proposition de loi visant à améliorer le système de santé par la confiance et la simplification;proposition de loi;2020-10-22;https://www.senat.fr/dossier-legislatif/ppl20-200.html;;;;;;Société,Questions sociales et santé;1474;339010;Améliorer le système de santé par la confiance et la simplification;;15-systeme_sante_confiance_simplification1
ppl09-264;proposition de loi tendant à modifier la loi n° 2005-158 du 23 février 2005 portant reconnaissance de la Nation et contribution nationale en faveur des Français rapatriés;proposition de loi;2010-02-04;https://www.senat.fr/dossier-legislatif/ppl09-264.html;promulgué;;;2012-03-08;Loi n° 2012-326 du 7 mars 2012;Affaires étrangères et coopération,Anciens combattants;10;30821;Harkis et Français rapatriés;;13-modification_loi_2005-158_rapatries
15-accueil_familial_personnes_agees_handicapees;Questions sociales et santé : accueil familial des personnes âgées et handicapées;proposition de loi;2018-07-25;http://www.assemblee-nationale.fr/dyn/15/dossiers/accueil_familial_personnes_agees_handicapees;;;;;;;17;4086;Questions sociales et santé : accueil familial des personnes âgées et handicapées;;15-accueil_familial_personnes_agees_handicapees
ppl17-388;proposition de loi portant transposition de la directive (UE) 2016/943 du Parlement européen et du Conseil du 8 juin 2016 sur la protection des savoir-faire et des informations commerciales non divulgués contre l'obtention, l'utilisation et la divulgation illicites;proposition de loi;2018-02-19;https://www.senat.fr/dossier-legislatif/ppl17-388.html;promulgué;conforme;2018-07-26;2018-07-31;Loi n° 2018-670 du 30 juillet 2018;Union européenne,PME, commerce et artisanat,Entreprises;342;218493;Protection des savoir-faire et des informations commerciales;;15-protection_savoir-faire_informations_commerciales
ppl18-459;proposition de loi portant adaptations législatives aux spécificités des territoires d'outre-mer soumis à une pression migratoire importante;proposition de loi;2019-04-12;https://www.senat.fr/dossier-legislatif/ppl18-459.html;;;;;;Société,Police et sécurité,Outre-mer;0;0;Territoires d'outre-mer soumis à une pression migratoire;;
ppl18-491;proposition de loi visant à instaurer la présomption de légitime défense pour les membres des forces de l'ordre faisant usage de leur arme dans l'exercice de leurs fonctions;proposition de loi;2019-05-10;https://www.senat.fr/dossier-legislatif/ppl18-491.html;;;;;;Police et sécurité;0;0;Présomption de légitime défense pour les forces de l'ordre;;
pjl09-016;projet de loi portant réforme de la représentation devant les cours d'appel;projet de loi;2009-06-03;https://www.senat.fr/dossier-legislatif/pjl09-016.html;promulgué;partiellement conforme;2011-01-20;2011-01-26;Loi n° 2011-94 du 25 janvier 2011;Justice;244;180593;Cours d'appel;;13-fusion_avocat_avoue_CA
15-accord_qatar;Approbation de l’accord entre le Gouvernement de la République française et le Gouvernement de l’Etat du Qatar relatif au statut de leurs forces;projet de loi;2021-07-07;http://www.assemblee-nationale.fr/dyn/15/dossiers/accord_qatar;;;;;;;0;0;Approbation de l’accord entre le Gouvernement de la République française et le Gouvernement de l’Etat du Qatar relatif au statut de leurs forces;;15-accord_qatar
pjl16-489;projet de loi ratifiant l'ordonnance n° 2017-48 du 19 janvier 2017 relative à la profession de physicien médical et l'ordonnance n° 2017-50 du 19 janvier 2017 relative à la reconnaissance des qualifications professionnelles dans le domaine de la santé;projet de loi;2017-06-29;https://www.senat.fr/dossier-legislatif/pjl16-489.html;promulgué;;;2018-02-27;Loi n° 2018-132 du 26 février 2018;Questions sociales et santé,Travail;32;39184;Physicien médical et qualifications professionnelles;;15-ratification_ordonnance_2017-48_ordonnance_2017-50
pjl08-155;projet de loi portant engagement national pour l'environnement;projet de loi;2008-03-17;https://www.senat.fr/dossier-legislatif/pjl08-155.html;promulgué;;;2010-07-13;Loi n° 2010-788 du 12 juillet 2010;Environnement;2422;614829;Grenelle II;;13-engagement_environnement
